name,id,nametype,type,class,group,mass (g),fall,year,reclat,reclong,GeoLocation
"Meteorite Hills 00712,15946,Valid,Stony,Ordinary,H6,12,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00713,15947,Valid,Stony,Ordinary,H6,14.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00714,15948,Valid,Stony,Ordinary,H6,32.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00715,15949,Valid,Stony,Ordinary,H6,35.2,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00716,15950,Valid,Stony,Ordinary,LL6,6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00717,15951,Valid,Stony,Ordinary,L5,26.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00718,15952,Valid,Stony,Ordinary,H6,28.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00719,15953,Valid,Stony,Ordinary,LL6,36.9,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00811,16045,Valid,Stony,Ordinary,LL6,8.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00813,16047,Valid,Stony,Ordinary,H5,8.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00814,16048,Valid,Stony,Ordinary,LL4,5.2,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00815,16049,Valid,Stony,Ordinary,LL6,67.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00816,16050,Valid,Stony,Ordinary,H6,54.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00817,16051,Valid,Stony,Ordinary,H5,52.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00818,16052,Valid,Stony,Ordinary,LL6,21.2,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00819,16053,Valid,Stony,Ordinary,L5,58.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00830,16064,Valid,Stony,Ordinary,H6,36.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00831,16065,Valid,Stony,Ordinary,LL4,19.2,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00832,16066,Valid,Stony,Ordinary,H6,30.9,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00833,16067,Valid,Stony,Ordinary,H6,24.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00835,16069,Valid,Stony,Ordinary,LL5,36.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00836,16070,Valid,Stony,Ordinary,H5,29.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00837,16071,Valid,Stony,Ordinary,H6,14.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00838,16072,Valid,Stony,Ordinary,LL5,12.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00839,16073,Valid,Stony,Ordinary,L4,26.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00840,16074,Valid,Stony,Ordinary,H5,10.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00841,16075,Valid,Stony,Ordinary,L6,6.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00842,16076,Valid,Stony,Ordinary,H6,20.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00843,16077,Valid,Stony,Ordinary,LL6,15.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00844,16078,Valid,Stony,Ordinary,L4,21,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00845,16079,Valid,Stony,Ordinary,L5,5.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00846,16080,Valid,Stony,Ordinary,L5,18.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00847,16081,Valid,Stony,Ordinary,LL5,38.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00848,16082,Valid,Stony,Ordinary,H6,14.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00849,16083,Valid,Stony,Ordinary,H6,12.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00850,16084,Valid,Stony,Ordinary,LL6,31.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00851,16085,Valid,Stony,Ordinary,LL6,44.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00852,16086,Valid,Stony,Ordinary,H6,9.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00853,16087,Valid,Stony,Ordinary,L5,7.9,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00854,16088,Valid,Stony,Ordinary,H6,10.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00856,16090,Valid,Stony,Ordinary,L6,38.9,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00857,16091,Valid,Stony,Ordinary,LL6,21.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00858,16092,Valid,Stony,Ordinary,L5,37.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00860,16094,Valid,Stony,Ordinary,H6,14.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00861,16095,Valid,Stony,Ordinary,LL5,17.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00862,16096,Valid,Stony,Ordinary,H6,2.2,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00863,16097,Valid,Stony,Ordinary,H6,46.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00865,16099,Valid,Stony,Ordinary,H6,14.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00866,16100,Valid,Stony,Ordinary,L5,58.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00867,16101,Valid,Stony,Ordinary,H5,21.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00868,16102,Valid,Stony,Ordinary,LL5,17.9,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00869,16103,Valid,Stony,Ordinary,H6,13.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00870,16104,Valid,Stony,Ordinary,H6,24.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00871,16105,Valid,Stony,Ordinary,LL5,23.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00872,16106,Valid,Stony,Ordinary,H6,14.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00873,16107,Valid,Stony,Ordinary,H6,23.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00874,16108,Valid,Stony,Ordinary,H6,17.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00875,16109,Valid,Stony,Ordinary,H5,12.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00876,16110,Valid,Stony,Ordinary,H6,22.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00877,16111,Valid,Stony,Ordinary,L5,28.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00878,16112,Valid,Stony,Ordinary,H6,13.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00879,16113,Valid,Stony,Ordinary,H6,26.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00920,16154,Valid,Stony,Ordinary,H5,30,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00921,16155,Valid,Stony,Ordinary,H4,10.2,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00922,16156,Valid,Stony,Ordinary,H5,13.9,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00923,16157,Valid,Stony,Ordinary,H6,13.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00924,16158,Valid,Stony,Ordinary,H5,18.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00925,16159,Valid,Stony,Ordinary,H5,11.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00926,16160,Valid,Stony,Ordinary,H6,25.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00927,16161,Valid,Stony,Ordinary,H6,15.2,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00928,16162,Valid,Stony,Ordinary,H6,29,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00929,16163,Valid,Stony,Ordinary,H5,6.2,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00930,16164,Valid,Stony,Ordinary,H5,17.2,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00931,16165,Valid,Stony,Ordinary,L6,6.9,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00932,16166,Valid,Stony,Ordinary,LL6,12.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00933,16167,Valid,Stony,Ordinary,L5,21.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00934,16168,Valid,Stony,Ordinary,H6,30.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00935,16169,Valid,Stony,Ordinary,LL6,3.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00936,16170,Valid,Stony,Ordinary,LL6,4.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00937,16171,Valid,Stony,Ordinary,H6,22.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00938,16172,Valid,Stony,Ordinary,H6,45.9,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00939,16173,Valid,Stony,Ordinary,H6,4.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00940,16174,Valid,Stony,Ordinary,H4,50.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00941,16175,Valid,Stony,Ordinary,H6,38.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00942,16176,Valid,Stony,Ordinary,LL6,68.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00943,16177,Valid,Stony,Ordinary,H6,22.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00945,16179,Valid,Stony,Ordinary,LL5,20.2,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00946,16180,Valid,Stony,Ordinary,L5,5.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00947,16181,Valid,Stony,Ordinary,H6,91.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00948,16182,Valid,Stony,Ordinary,L5,24.2,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00949,16183,Valid,Stony,Ordinary,LL6,33.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00950,16184,Valid,Stony,Ordinary,LL5,7.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00951,16185,Valid,Stony,Enstatite,EL6,25,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00952,16186,Valid,Stony,Ordinary,L5,12.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00953,16187,Valid,Stony,Ordinary,L4,30.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00954,16188,Valid,Stony,Ordinary,LL6,47.9,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00955,16189,Valid,Stony,Ordinary,L5,7.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00956,16190,Valid,Stony,Ordinary,H6,50.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00957,16191,Valid,Stony,Ordinary,LL5,26,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00958,16192,Valid,Stony,Ordinary,L5,7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00959,16193,Valid,Stony,Ordinary,LL6,51.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00960,16194,Valid,Stony,Ordinary,H6,44.9,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00961,16195,Valid,Stony,Ordinary,LL5,25.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00962,16196,Valid,Stony,Ordinary,H5,46.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00963,16197,Valid,Stony,Ordinary,LL6,19.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00964,16198,Valid,Stony,Ordinary,L5,8.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00965,16199,Valid,Stony,Ordinary,H6,28.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00966,16200,Valid,Stony,Ordinary,LL5,20.2,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00967,16201,Valid,Stony,Ordinary,LL6,69.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00969,16203,Valid,Stony,Ordinary,LL6,44.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00970,16204,Valid,Stony,Ordinary,L5,15.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00971,16205,Valid,Stony,Ordinary,H6,28.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00972,16206,Valid,Stony,Ordinary,L6,1.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00973,16207,Valid,Stony,Ordinary,L5,7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00974,16208,Valid,Stony,Ordinary,H5,40.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00975,16209,Valid,Stony,Ordinary,L6,40.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00976,16210,Valid,Stony,Ordinary,H5,24.9,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00977,16211,Valid,Stony,Ordinary,H5,13.2,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00978,16212,Valid,Stony,Ordinary,LL5,24.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00979,16213,Valid,Stony,Ordinary,LL5,10.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00980,16214,Valid,Stony,Ordinary,L6,74.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00981,16215,Valid,Stony,Ordinary,LL5,42.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00982,16216,Valid,Stony,Ordinary,L5,8.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00983,16217,Valid,Stony,Ordinary,L5,9.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00984,16218,Valid,Stony,Ordinary,L6,29,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00985,16219,Valid,Stony,Ordinary,H6,25.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00986,16220,Valid,Stony,Ordinary,LL6,38.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00987,16221,Valid,Stony,Ordinary,L5,31.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00988,16222,Valid,Stony,Ordinary,LL6,12.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00989,16223,Valid,Stony,Ordinary,L5,36.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00990,16224,Valid,Stony,Ordinary,LL6,42.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00991,16225,Valid,Stony,Ordinary,LL5,25.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00992,16226,Valid,Stony,Ordinary,H6,45,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00993,16227,Valid,Stony,Ordinary,LL5,59.2,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00994,16228,Valid,Stony,Ordinary,L5,65.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00995,16229,Valid,Stony,Ordinary,LL6,53.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00996,16230,Valid,Stony,Ordinary,LL6,11.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00997,16231,Valid,Stony,Ordinary,H5,41.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00998,16232,Valid,Stony,Ordinary,L5,38.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00999,16233,Valid,Stony,Ordinary,L5,8.9,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001139,45809,Relict,Unknown,Unclassified,Fusion crust,0.013,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96500,16559,Valid,Stony,Achondrites,Howardite,592.9,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96502,16561,Valid,Stony,Ordinary,L6,915.6,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96503,16562,Valid,Stony,Ordinary,L3.10,404,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96504,16563,Valid,Stony,Ordinary,L5,618.2,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96505,16564,Valid,Stony,Ordinary,L6,289.8,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96506,16565,Valid,Stony,Ordinary,H6,363.5,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96507,16566,Valid,Stony,Ordinary,L5,443.1,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96508,16567,Valid,Stony,Ordinary,L6,629.2,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96509,16568,Valid,Stony,Ordinary,L6,896.9,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96510,16569,Valid,Stony,Ordinary,L5,277.9,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96511,16570,Valid,Stony,Ordinary,L6,303.4,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96512,16571,Valid,Stony,Ordinary,L6,2133.5,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96513,16572,Valid,Stony,Ordinary,L5,153.4,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96514,16573,Valid,Stony,Ordinary,L6,193.9,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96515,16574,Valid,Stony,Ordinary,L3.5,308.7,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96516,16575,Valid,Stony,Ordinary,H5,108.4,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96517,16576,Valid,Stony,Ordinary,L5,126.6,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96518,16577,Valid,Stony,Ordinary,L6,116.8,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96519,16578,Valid,Stony,Ordinary,L6,121.9,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96520,16579,Valid,Stony,Ordinary,H6,172.8,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96521,16580,Valid,Stony,Ordinary,H6,131.9,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96522,16581,Valid,Stony,Ordinary,L5,141.2,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96523,16582,Valid,Stony,Ordinary,L6,100,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96524,16583,Valid,Stony,Ordinary,L6,81.5,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96525,16584,Valid,Stony,Ordinary,H4,110.3,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96526,16585,Valid,Stony,Ordinary,L5,63.5,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96527,16586,Valid,Stony,Ordinary,H5,15.2,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96528,16587,Valid,Stony,Ordinary,H6,14.1,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96529,16588,Valid,Stony,Ordinary,LL5,111.6,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96530,16589,Valid,Stony,Ordinary,LL6,36.6,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96531,16590,Valid,Stony,Ordinary,H5,46.8,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96532,16591,Valid,Stony,Ordinary,L5,55.5,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96533,16592,Valid,Stony,Ordinary,L5,3.2,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96534,16593,Valid,Stony,Ordinary,H5,51.5,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96535,16594,Valid,Stony,Ordinary,H6,45,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96536,16595,Valid,Stony,Ordinary,L6,45.8,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 96537,16596,Valid,Stony,Ordinary,L6,31.5,Found,1996-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Pantar,18098,Valid,Stony,Ordinary,H5,2130,Fell,1938-01-01,8.06667,124.28333,""(8.066670, 124.283330)"""
"Serra de Magé,23502,Valid,Stony,Achondrites,Eucrite-cm,1800,Fell,1923-01-01,-8.38333,-36.76667,""(-8.383330, -36.766670)"""
"Ivuna,12063,Valid,Stony,Carbonaceous,CI1,704.5,Fell,1938-01-01,-8.41667,32.43333,""(-8.416670, 32.433330)"""
"Lovina,45978,Valid,Iron,Achondrites,""Iron, ungrouped"",8200,Found,1981-01-01,-8.65,115.21667,""(-8.650000, 115.216670)"""
"Akwanga,432,Valid,Stony,Ordinary,H,3000,Fell,1959-01-01,8.91667,8.43333,""(8.916670, 8.433330)"""
"Ishinga,12049,Valid,Stony,Ordinary,H,1300,Fell,1954-01-01,-8.93333,33.8,""(-8.933330, 33.800000)"""
"Mayo Belwa,15451,Valid,Stony,Achondrites,Aubrite,4850,Fell,1974-01-01,8.96667,12.08333,""(8.966670, 12.083330)"""
"Derrick Peak 00200,6666,Valid,Iron,Achondrites,""Iron, IIAB"",10000,Found,2000-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
"Derrick Peak 00201,6667,Valid,Iron,Achondrites,""Iron, IIAB"",2689.4,Found,2000-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
"Derrick Peak 88017,6668,Valid,Iron,Achondrites,""Iron, IIAB"",63000,Found,1988-01-01,-80.06667,156.38333,""(-80.066670, 156.383330)"""
